index,adversarial,original
0,leather new secretions from the familial units,hide new secretions from the parental units
0,hide new secretions from the parental units,hide new secretions from the parental units
1,"contains no mind , only persevered laughing","contains no wit , only labored gags"
1,"contains no wit , only labored gags","contains no wit , only labored gags"
2,that amar its characters and communicates something rather peachy about human digits,that loves its characters and communicates something rather beautiful about human nature
2,that loves its characters and communicates something rather beautiful about human nature,that loves its characters and communicates something rather beautiful about human nature
3,remains utterly satisfied to sustaining the same throughout,remains utterly satisfied to remain the same throughout
3,remains utterly satisfied to remain the same throughout,remains utterly satisfied to remain the same throughout
4,on the finest revenge-of-the-nerds clichés the filmmakers could dredge up,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up
4,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up
5,that 's acutely too poignant to fond such palpable heals,that 's far too tragic to merit such superficial treatment
5,that 's far too tragic to merit such superficial treatment,that 's far too tragic to merit such superficial treatment
6,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , customized film with an psychiatric wallop .","demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop ."
6,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop .","demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop ."
7,of impertinent,of saucy
7,of saucy,of saucy
8,a pisa fifteen-year-old 's martyrdom poetic,a depressed fifteen-year-old 's suicidal poetry
8,a depressed fifteen-year-old 's suicidal poetry,a depressed fifteen-year-old 's suicidal poetry
9,are more bitterly thought through than in most ` right-thinking ' films,are more deeply thought through than in most ` right-thinking ' films
9,are more deeply thought through than in most ` right-thinking ' films,are more deeply thought through than in most ` right-thinking ' films
0,leather new secretions from the parental units,hide new secretions from the parental units
1,"contains no wit , only labored laughing","contains no wit , only labored gags"
2,"contains no mind , only persevered gags","contains no wit , only labored gags"
3,that amar its characters and communicates something rather beautiful about human nature,that loves its characters and communicates something rather beautiful about human nature
4,that loves its characters and communicates something rather peachy about human digits,that loves its characters and communicates something rather beautiful about human nature
5,that 's far too tragic to merit such palpable treatment,that 's far too tragic to merit such superficial treatment
6,that 's far too poignant to merit such palpable treatment,that 's far too tragic to merit such superficial treatment
7,that 's acutely too tragic to merit such palpable heals,that 's far too tragic to merit such superficial treatment
8,that 's acutely too tragic to fond such palpable heals,that 's far too tragic to merit such superficial treatment
9,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an psychiatric wallop .","demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop ."
10,a depressed fifteen-year-old 's martyrdom poetry,a depressed fifteen-year-old 's suicidal poetry
11,a pisa fifteen-year-old 's suicidal poetic,a depressed fifteen-year-old 's suicidal poetry
